,Mkt-RF,SMB,HML,RMW,CMA,Mom,RF
2020-06-15,0.006460569836134793,-0.007087743854328298,0.006063697922055551,-0.0005429133503446859,0.01060865023511057,0.003413584784845191,8e-05
2020-06-16,-0.001159171614054216,0.00032544925895302597,-0.010039171033823348,-0.0005120473014402675,-1.929781228424196e-05,-0.0034324230585197494,8e-05
2020-06-17,0.00827226245720831,2.704802684637166e-05,-0.0016134238055276616,0.003938237392881491,-0.0014491183347691116,-0.00015470925290087277,8e-05
2020-06-18,0.018776358276896304,0.008787164526652624,0.00014130816293487746,0.006747161999551418,-0.005672752488714752,0.0005155957823539112,8e-05
2020-06-19,-0.002309840496680032,0.0038975858630396223,0.005589149506057192,-0.00031590626890745866,0.017513947413966672,-0.008526730438513205,8e-05
2020-06-22,-0.0023096434833901665,-0.00010021566996115134,0.0062150643984627265,0.01308852320355984,-0.006539968193337373,0.006668215134283582,8e-05
2020-06-23,0.0194505537860887,0.006642130393602297,-0.006407564189006462,0.0016696432117470424,-0.0026730875536364403,0.0053604655624651274,8e-05
2020-06-24,0.009709216749834906,0.011221660392138507,0.0009379600077220437,-0.0023249855420482976,0.0023950210177163633,0.017244853637543408,8e-05
2020-06-25,-0.005133692631219426,0.004562482450814898,0.00431552364153717,-0.011180971513719795,0.0035012777944656666,0.014108847583173224,8e-05
2020-06-26,0.007010720523031576,0.00018282095874704485,0.013302400899320898,-0.0017386166422131743,0.005647592331294104,-0.007242424093491432,8e-05
2020-06-29,-0.005061012313749547,-0.010394689858801277,0.006540558858422507,-0.002254708617877954,0.01074565104661558,0.009323282119598611,8e-05
2020-06-30,-0.0050887570428430826,-0.00842090930460298,0.007301510186379669,0.006822133573970293,0.002936945932764274,-0.010160487214039187,8e-05
2020-07-01,0.0034035472587924096,-0.002341797634837341,0.0009544396513642483,0.0033373853684679784,-0.006436184799800006,0.007955253110349347,8e-05
2020-07-02,-0.022459362935893575,-0.004776097617274265,0.012894132306831533,-0.008155583851428321,-0.0016416707507306892,-0.005382756186361186,8e-05
2020-07-03,-0.020199013990156393,-0.001395770423883568,0.003887865163635476,0.0013057807048772626,0.0017469942350833098,-0.010955785457131429,8e-05
2020-07-06,-0.006247450350891673,0.0005531993991768574,-0.0075497911915621335,0.004800718202103375,0.012309356249034944,0.0033804987696714485,8e-05
2020-07-07,-0.011653973444013085,0.004337542034853847,0.012830329731126716,0.01079621951571483,-0.008486832870545781,-0.029120238409695545,8e-05
2020-07-08,0.004270967991143286,-0.0004639902244727298,0.006481129452851247,0.006312527771898416,0.007115459031351365,-0.018960731318457505,8e-05
2020-07-09,-0.01039628890625453,0.003992013150609616,-0.00378739619015634,0.005425926580180345,0.0009794862172785006,-0.001652410721517115,8e-05
2020-07-10,-0.016447644416023498,0.000615795318480962,-0.00411543670659319,0.0005206019623061453,0.004926983211376884,0.0012068594329832669,8e-05
2020-07-13,0.018087785227058648,-0.01570373253083097,0.002869179906266856,0.002818184037964147,-0.000711968299815592,-0.0037625064717400772,8e-05
2020-07-14,-0.002209315605838428,-0.007414683150550034,0.004368663157408262,0.00884653430494311,-0.005154595780757959,-0.017073799285893584,8e-05
2020-07-15,0.001310338456255086,-0.0010527004457729237,0.001975630390680858,-0.009229441782357548,0.004405236676407992,-0.00869681026352356,8e-05
2020-07-16,-0.01659697823456148,-0.00957755794272886,0.0030017780609859638,-0.0023460752905186916,0.003826586162633727,0.004603302599611332,8e-05
2020-07-17,-0.006032592694302192,0.004899429839969637,0.015499616371187424,-0.0053079812412936845,0.005732341794438331,0.006699599476911988,8e-05
2020-07-20,0.001831071076518393,0.012346006658749579,0.009843888370113971,0.0027540718310828686,-0.00017982781227181185,0.00012154570644464635,8e-05
2020-07-21,-0.013311922929067634,0.009850094813578533,0.0019157203213852189,0.008711555229555513,-0.003698932139919096,0.013025171591406877,8e-05
2020-07-22,0.005008376220148063,-0.0016075429674416639,0.00867179522690735,-0.0040788200070475174,-0.009452721970143048,0.004671367258051577,8e-05
2020-07-23,-0.0067076642790256606,0.012025809094799616,-0.009092715131747855,-0.016632130572286068,0.004816239608836438,-0.007922012193540334,8e-05
2020-07-24,-0.0030003249975193214,0.0012893396576168924,0.0037813434495212804,-0.0027855452151712913,0.0024433368946639167,-0.002785522587527791,8e-05
2020-07-27,-0.006720479346752763,-0.0025966877689443148,0.016483757147597988,0.0064943161241218465,-0.005894695797183756,-0.015131527729286401,8e-05
2020-07-28,0.022727338214107256,-0.004807221308327518,-0.0017624130585313642,0.0038634093206491578,-0.003331442039779745,-0.0008895288943055843,8e-05
2020-07-29,0.00033803330314479297,-0.0023197574919050267,-0.007428705357571763,0.0030973037346740326,-0.002900552871708643,0.012533106811434724,8e-05
2020-07-30,-0.012192531147470804,-0.0030054145483298304,-0.005668799997337546,-0.0018599531131213581,-0.008997906591894509,0.007838190931820647,8e-05
2020-07-31,0.010370538945238268,0.0014633297790039017,-0.009606697336081493,-0.008853215153538506,-0.0050060943796308025,0.01572210258511034,8e-05
2020-08-03,-0.014150123799652267,0.0013845918483989168,-0.006862857173149331,0.0037070602513712718,-0.006902982140838125,-0.0030317376817889244,8e-05
2020-08-04,0.003006363140057065,0.00012436816122731576,-0.0031345728873102604,-0.005739972670242373,-0.00257487407132762,0.015107097739656834,8e-05
2020-08-05,-0.023016041486557306,0.003595505357970799,-0.012450103172607776,0.015388677133663193,-0.004532184989977377,-0.0018263464909276687,8e-05
2020-08-06,-0.015438232586781165,0.00962517019829073,0.0003405650055464274,0.004093550458481612,-0.009862029525200492,0.016487435908268833,8e-05
